article,author,dop,title,url
"When Sally Maughan steps into a large fenced area in her backyard here, eight orphan bear cubs pay her the ultimate compliment.,''They treat me like a bear,'' said Ms. Maughan, who can lumber about in pretty convincing fashion. ''When I come in the door, they're thinking that way. They'll take a swat at me. They'll grab my shirt sleeve like it's the scruff of another bear.'',And that is the whole point, for Ms. Maughan is doing all she can to get these bears back into the wild this spring. Idaho wildlife officials call her ''the bear lady,'' and for the last 10 years she has been the volunteer in charge of an unusual program intended to return orphaned cubs to the wilderness.,Left on their own after their mothers are killed, usually in an illegal hunt or sometimes by a passing truck on a remote highway, young bears will almost surely die, because they cannot forage or otherwise fend for themselves in the first months of life. Some are brought to Ms. Maughan so young that she has to bottle-feed them every two hours.,''She basically teaches them how to be bears,'' explained Kris Van Cleave, a spokeswoman for the Idaho Department of Fish and Game.,So far, Ms. Maughan, a 52-year-old travel agent, has returned 37 black-bear cubs to wilderness areas across Idaho and in the Blue Mountains of Oregon, and wildlife officials in charge of the releases say follow-up observations and checks of radio tags indicate that nearly all have done just fine.,In perhaps the greatest testament to her success, only one of the bears has shown an inclination to wander back to areas of human habitation like campgrounds in search of food. (That bear was ultimately deemed a ''nuisance bear'' and sent away to a university research project.),''Sally's very good at what she does,'' said Jeff Rohlman, a regional wildlife manager for the Fish and Game Department. ''She's good at minimizing contact, at keeping the cubs somewhat leery of humans, and that's exactly what you want to do with these bears.'',For Ms. Maughan, the process is something of a conundrum, since even as she devotes so many hours to the cubs and develops an obvious affection for them, the last thing she would ever want to do is treat them like pets.,''That's not the point at all,'' she said. ''If you get too emotionally attached, you'll wind up defeating everything you're working towards. A bear wants to be free. A bear needs to be free.'',What she feels when watching the bears successfully scamper off into the wild is a bit akin to the intensely mixed emotions, the pride and the sadness, that many parents experience when their children head off to college.,In fact, ''bear cubs go through comparable stages of development to children,'' Ms. Maughan said, ''except that it happens over a period of months, not years.'',Until the age of 8 weeks or so, the cubs are bawling infants, in need of a lot of nurturing, closeness, security, food and sleep.,After that, ''they begin about a month of the terrible 2's,'' she said, when ''they need supervision, they throw their own version of temper tantrums, they want what they want when they want it.'',By about 6 months, the teen-age stage has arrived. ''They get a bit wild and reckless,'' she said. ''They don't use good judgment, and seem to feel invincible.'',And then, at last, as they near the point of their release, ''you can breathe a sigh of relief,'' Ms. Maughan said.,''Now it's almost like having a college student around,'' she said. ''They take an interest in their surroundings and start to investigate and really try to figure out what makes everything tick.'',Of course, she cannot be exactly sure of all those equivalents, she said with a laugh, since she herself never reared any children.,''I never wanted to have kids,'' said Ms. Maughan, who never married, either. ''I'm really not a people person. Let's just say I'm more of a bear person.'',Ms. Maughan lives in this Boise suburb with her 85-year-old mother, also named Sally, 18 cats (at last count), 2 coyotes (Pouncer, 10, and Sparkle, 8, who have successfully acted as foster parents to several orphaned pups in a program that returns coyotes to the wild as well) and a good 75 or so stray ducks.,''She's just been this way ever since she was a little girl,'' her mother said. ''She'd come home from school, and there'd be four or five dogs following her.'',In past years, Ms. Maughan has spent as much as $6,000 of her own money on the bears, which have a voracious appetite for a diet that includes dog food, fish, fruit (especially apples and frozen grapes), carrots, acorns, bees, wasps and, she said, ''an occasional mouse who tries to join the picnic.'',Ms. Maughan has never been injured by any of her bears. The closest she ever came was when one of the cubs, nicknamed Griz, grew agitated one day and gave her, well, a real bearhug. But he eventually let go, and she was fine.,Every orphaned bear that is rescued and makes it back to the wild is a bear that in the past would have either died in the wild or most likely been put to death if found by wildlife officials. While black bears are common in many states, and while the North American population is not considered to be endangered, animal experts say Ms. Maughan's work should be applied to bear species around the world that are. Her nonprofit foundation recently received a $6,000 grant from the World Society for the Protection of Animals, based in London.,''On a global basis, there's no one doing what she's doing as well as she's doing it,'' said Chris Morgan, a bear specialist with the society. ''There's a lot to learn from her.'',Tara Wertz, regional wildlife habitat biologist with the Oregon Department of Fish and Wildlife, who has brought cubs to Ms. Maughan, said: ''As far as we're concerned, she's a godsend. You know, there just aren't a lot of people out there you can call on to take in a bear.''",SAM HOWE VERHOVEK,"FEB. 23, 1999","For Orphaned Little Cubs, a Den Mother",https://www.nytimes.com/1999/02/23/us/for-orphaned-little-cubs-a-den-mother.html
"A Suffolk County jury began deliberations yesterday in the trial of a former New York City police officer charged with aiding in what prosecutors said was the racially motivated bludgeoning of a young black man outside a Westhampton Beach nightclub.,The defendant, Constantine Chronis, 37, of Hicksville, is charged with assault, official misconduct and menacing in the near-fatal beating on May 26, 1996, of Shane Daniels, 23.,Mr. Chronis was charged with holding back a crowd of Mr. Daniels's friends with his service revolver while a co-defendant, Austin Offen, 28, of Floral Park, Queens, repeatedly struck Mr. Daniels in the head with an iron pipe. Mr. Offen pleaded guilty to first-degree assault and was sentenced to 10 years in prison. Mr. Chronis and Mr. Offen are white; Mr. Daniels is black.,Mr. Chronis, who resigned from the Police Department in August 1996, contends that he, too, was a victim and that he did not take part in the attack on Mr. Daniels.",,"FEB. 23, 1999",METRO NEWS BRIEFS: NEW YORK; Jury Starts Deliberating In Police Officer's Trial,https://www.nytimes.com/1999/02/23/nyregion/metro-news-briefs-new-york-jury-starts-deliberating-in-police-officer-s-trial.html
"Mayor Rudolph W. Giuliani vowed yesterday to sue to recoup the disability payments paid to a former high school teacher who asserts that job-related injuries prevent him from working in the schools but not as a ski instructor in Vermont.,The teacher, Larry Feldstein, retired in 1994 from Humanities High School in Manhattan, where he had been a physical education teacher. He was granted a disability pension on the basis of injuries he said he received in April 1992 while demonstrating a hockey shot and removing locks from a gym locker, said Jonathan L. Kimmel, counsel to the Teachers' Retirement Board. Mr. Feldstein, 55, has been getting tax-free monthly payments of $3,299.70 since then, or about $172,000.,Mr. Kimmel said the board had been aware, through anonymous letters, of Mr. Feldstein's work at the Mount Snow ski resort since 1996 and took action to revoke his pension. The board's doctors, after re-examining him in an annual physical, upheld his claim then and did so every year until last September, when they declared him fit to work.,Mr. Feldstein, whose case was first reported yesterday in The Daily News, appealed their decision. The case is under review by a separate panel of doctors, Mr. Kimmel said.,Mr. Feldstein did not return a telephone message left at his employer in Vermont. His home number is not listed there or in New York.",,"FEB. 23, 1999",METRO NEWS BRIEFS: NEW YORK; Giuliani Vows to Sue Ex-Teacher on Ski Job,https://www.nytimes.com/1999/02/23/nyregion/metro-news-briefs-new-york-giuliani-vows-to-sue-ex-teacher-on-ski-job.html
"The parents of a New Fairfield, Conn., man who was buried in a potter's field after the police failed to identify him as a missing person have filed a $20 million negligence suit against New York City.,Marvin and Theresa Nash said their son, James, 36, lay unidentified for five months in a Brooklyn morgue before he was buried in an unmarked grave despite their frequent contacts with the police.,Mr. Nash, who lived with his parents, was last seen around 3 P.M. on Oct. 31, 1997, when he left work as a salesman at a Rockland County sanitation company. On Nov. 4, after the parents had filed a missing-person report, his 1985 Dodge truck was found at 158th Street and Edgecombe Avenue in Washington Heights.,Mr. Nash's body was discovered by the police in the water near Pier 5 in Brooklyn on Nov. 11. Ellen Borakove, a spokeswoman for the City Medical Examiner's office, said Mr. Nash had drowned, but it was not determined how it happened.,The Nashes' lawsuit, filed two weeks ago in State Supreme Court in Manhattan, says it was 11 months after their son vanished before they learned what happened to him. Ms. Borakove and Lorna Goodman, a lawyer for the city and spokeswoman for the City Corporation Counsel's office, both said they could not comment on the lawsuit.",THE ASSOCIATED PRESS,"FEB. 23, 1999",METRO NEWS BRIEFS: NEW YORK; Burial in Potter's Field Leads to $20 Million Suit,https://www.nytimes.com/1999/02/23/nyregion/metro-news-briefs-new-york-burial-in-potter-s-field-leads-to-20-million-suit.html
"Two Manhattan centenarians were given France's highest award, the Legion of Honor cross, yesterday for their service in France during World War I.,Herbert Young, 112, and Robert Thomas, 103, were named knights in the National Order of the Legion of Honor.,Mr. Thomas, who was a private, served in the 815th Pioneer Infantry in Verdun. Mr. Young, who was a corporal, was assigned to the 807th Pioneer Infantry, served in the Meuse-Argonne offensive. They were honored at a ceremony held at the French Consulate in Manhattan.,After the French Consul General, Richard Duque, pinned the medal on his suit jacket, Mr. Thomas said: ''I thank you. I thank you. I thank everyone involved. I did the best that I could.'',Mr. Young, who saluted when ''The Star-Spangled Banner'' was played, was so excited about the honor that he could not sleep for several nights, his relatives said.,''For a solid week, all I've heard is: 'Is it Monday yet? What day is it? What time is it,' '' said his granddaughter, Martha Jones. ''It's a big honor, something he's waited for for a long, long time.'',The French President, Jacques Chirac, told President Clinton last June that he wanted to give the cross to as many surviving World War I veterans as possible to commemorate the 80th anniversary of the war's end.",THE ASSOCIATED PRESS,"FEB. 23, 1999",METRO NEWS BRIEFS: NEW YORK; 2 Centenarians Given French Legion of Honor,https://www.nytimes.com/1999/02/23/nyregion/metro-news-briefs-new-york-2-centenarians-given-french-legion-of-honor.html
"Three men have been arrested and charged with murder in the stabbing death on Thursday of a 21-year-old Hillsborough man, prosecutors said yesterday.,Two of the defendants -- Christopher Flynn of Montgomery Township and Anthony Leahey of Hillsborough -- were arrested in Clearwater, Fla., yesterday and charged with fatally stabbing an acquaintance, David Wood of Hillsborough, said Wayne J. Forrest, the Somerset County Prosecutor. Keith Descoteau, also of Hillsborough, was arrested at his home and accused on similar charges, Mr. Forrest said.,Prosecutors said the three men spent Wednesday evening with Mr. Wood, then killed him in a wooded grove in Hillsborough early Thursday morning and stole his credit cards, his cellular phone and about $100 in cash from his pockets.,The three remained in custody last night in Florida and New Jersey.",,"FEB. 23, 1999",METRO NEWS BRIEFS: NEW JERSEY; 3 Men Are Arrested In a Fatal Stabbing,https://www.nytimes.com/1999/02/23/nyregion/metro-news-briefs-new-jersey-3-men-are-arrested-in-a-fatal-stabbing.html
"Two prison inmates on work detail picking up garbage along Interstate 80 were injured yesterday when struck by a car, the authorities said.,The inmates, Darryl Whitecraft, 23, and Dante Selby, 21, were in a 10-man group from the Mountainview Youth Correctional Facility in Annandale, according to a statement by the State Corrections Department. It said they were struck by a car driven by Alan Zewan, 45, of Nicholson, Pa., who apparently fell asleep at the wheel and drove off the road.,State officials said safety cones, flags and lights had been set up around the work area. Mr. Whitecraft, serving a three-year sentence for drug possession, had head injuries and a broken leg, they said. Mr. Selby, serving a sentence of one to five years for drug distribution, had head injuries. Both were admitted to Morristown Memorial Hospital. Mr. Zewan was issued a careless-driving summons, the state police said.",,"FEB. 23, 1999",METRO NEWS BRIEFS: NEW JERSEY; 2 Inmates Are Injured When Struck by a Car,https://www.nytimes.com/1999/02/23/nyregion/metro-news-briefs-new-jersey-2-inmates-are-injured-when-struck-by-a-car.html
"The on-line service provider Prodigy Communications Corporation will post entertainment information from the video rental chain Blockbuster Inc. on the Internet, and Blockbuster will offer free Prodigy software under an alliance the companies announced yesterday.,Prodigy, based in White Plains, said subscribers would receive a customizable page with information from Blockbuster about entertainment, video releases and specials. Blockbuster, in turn, will market the service and distribute free Prodigy Internet software to its members in nearly 4,000 Blockbuster stores.,''Consumers can get a fast and reliable Internet connection through Prodigy, surf the Web and get exposure to Blockbuster.com offerings,'' Gena Kay Sedlak, Blockbuster's vice president of technology, said in a statement.,Blockbuster will initially offer free co-branded Prodigy Internet CD-ROMs to its members, with the service costing $9.95 each of the first three months and $19.95 each of the following months in the first year of service.",REUTERS,"FEB. 23, 1999",Metro Business; Web and Video Link,https://www.nytimes.com/1999/02/23/nyregion/metro-business-web-and-video-link.html
"International Business Machines Corporation said yesterday that it  had succeeded in placing both logic and memory circuits on a single  piece of silicon.,The company added in a statement from its offices in East Fishkill, N.Y., that the advance would improve the performance of many electronic products while reducing the number of chips needed.,Logic circuits process information, while memory circuits store information. Until now, the two functions have been provided on separate chips.,With the new technology, according to I.B.M., 24 million circuits --  equal to as much as eight times the processing and two to four times the memory found in a typical personal computer -- can be packed on a single chip.,I.B.M. plans to start designing custom chips with the dual capability in April.",AGENCE FRANCE-PRESSE,"FEB. 23, 1999",Metro Business; I.B.M. Unveils Dual Chip,https://www.nytimes.com/1999/02/23/nyregion/metro-business-ibm-unveils-dual-chip.html
"An administrative judge for the New York State Department of Labor has ruled that General Motors Corporation must pay $3.8 million to 10,000 workers who were temporarily laid off at four New York factories, lawyers said yesterday.,A New York State administrative law judge ruled on Feb. 12 that G.M. wrongly reduced unemployment benefits paid to the workers when it classified part of a settlement package as back pay for the Fourth of July holiday, lawyers for the workers said.,G.M. did not return phone calls seeking comment.,The payments were received more than 30 days after the holiday, and under New York State law, therefore could not reduce unemployment insurance, the lawyers said.,The decision affects G.M. workers at plants in Lockport, Massena, Rochester and Tonawanda who were temporarily laid off last summer when G.M. closed the plants after strikes in Michigan caused parts shortages.,Similar cases affecting up to 100,000 other G.M. employees are pending before state agencies in Michigan, New Jersey, Kansas, Indiana and elsewhere, said Jordan Rossen, a lawyer for the New York workers.",REUTERS,"FEB. 23, 1999",Metro Business; G.M. Ordered to Pay Benefits to Workers,https://www.nytimes.com/1999/02/23/nyregion/metro-business-gm-ordered-to-pay-benefits-to-workers.html
"THE Clinton Administration is pressing Madison Avenue to voluntarily adopt a code to insure that media outlets and agencies owned by members of minority groups get what is deemed their fair share of consideration when advertising dollars are spent -- or run the risk of Federal scrutiny.,The Administration's efforts, representing an intensification of interest from Washington in the issue, were outlined at a meeting yesterday at the Waldorf-Astoria hotel in midtown Manhattan sponsored by the American Advertising Federation. The federation is a coalition that represents national agencies, advertisers and media companies as well as local advertising associations in 207 cities and student chapters at 248 colleges and universities.,Officials of the federation, based in Washington, are among the leaders searching for ways to increase diversity in an industry that still displays an overwhelmingly white face to the consuming public, even as the racial and ethnic backgrounds of the intended audiences for sales pitches grow more diverse.,The Administration has expressed a preference for the industry to adopt voluntary self-regulation, as has been its policy on policing Internet advertising. But if progress is judged to be lagging, the Office of Civil Rights of the Department of Justice may step in -- or Congress could pass legislation.,''The marketplace is growing with minority wealth, yet there's very little specifically directed to multicultural audiences,'' Wally Snyder, president and chief executive of the federation, said in an interview.,''We're looking for opportunities to forge new understandings about the value of the minority market,'' he added, ''and how to reach it.'',The federation is reorganizing its board, Mr. Snyder said, to create a permanent standing task force dedicated to diversity and multicultural advertising. That group will be headed by Thomas J. Burrell, chairman of the Burrell Communications Group in Chicago, and Edward R. Erhardt, vice president and publisher in New York of Advertising Age, owned by Crain Communications Inc.,The meeting comes a month after the Federal Communications Commission released a study concluding that advertising revenue per listener for radio stations with black and Spanish-speaking audiences -- many of them having black and Hispanic owners -- lagged behind revenue for mainstream stations, even in markets where the nonmajority stations drew higher ratings. But the study did not specify why that occurs; the commission has called for additional research on the matter.,That study was cited frequently at a colloquium on Jan. 18 sponsored by the Rev. Al Sharpton and several industry organizations, which was aimed at pressing Madison Avenue to devote more resources and attention to multicultural consumers and media.,''Diversity of voices and views is a pillar of our democracy,'' said Vice President Al Gore, who addressed the federation's meeting by satellite from Washington. ''That is why we must insure that our airwaves provide opportunity for all Americans and both reflect and respect the full diversity of the country they serve.'',Mr. Gore announced the formation of a Federal interagency working group to examine current advertising practices and their effect on media outlets and agencies owned by minorities. The task force will be composed of representatives of the Justice Department, the F.C.C., the Federal Trade Commission, the Department of Commerce and the Office of Advocacy of the Small Business Administration.,''It's a complex problem,'' William E. Kennard, chairman of the F.C.C., said in an interview.,There is ''lots of powerful anecdotal evidence'' that some advertisers and agencies buying commercial time ''are operating on misinformed stereotypes and cruel judgments about minorities and what they buy,'' he added. ''And some advertisers are just not focusing on getting quality research to understand minority demographics.'',Still, Mr. Kennard said, ''the advertising industry has been very receptive'' to the initial attempts to address those issues, adding that ''we're starting to coalesce around some concrete next steps.'',One such step he identified would be the voluntary code of conduct to be followed in buying advertising time and space in the media.,The general principles that Mr. Kennard offered as a starting point for formulating a code included using accurate data to gauge consumer purchasing patterns, insuring fair access to information and promoting fair competition for advertising dollars ''among a wide range of media outlets.'',Mr. Snyder said he thought that self-regulation was far more preferable to Government intervention because ''it would be more efficiently handled, better done by the industry.'' The federation is one participant in the longtime industry self-regulatory processes for adjudicating disputes about advertisements and children's advertising, along with the Council of Better Business Bureaus, the American Association of Advertising Agencies and the Association of National Advertisers.,Though the agency association also disdains Government regulation, that organization considers a code ''neither feasible nor helpful,'' according to a memo sent to members on Feb. 4 by O. Burtch Drake, president and chief executive.,''The F.C.C. report is right on at least two points,'' the memo stated. ''Minority radio broadcasters are getting less revenue per listener and the issue needs more study to determine why.'',The dispute over ''advertiser and agency bias against the minority media has recently become a political issue,'' according to the memo, a copy of which was provided by the agency association, ''threatening to damage the reputation of the advertising industry in general and the media buying practices of advertising agencies in particular.'',''Thus far, the dialogue has been cordial and productive,'' the memo continued. ''However, it is important that advertising agency and media management put these matters high on their 'must solve' list'' -- along with clients, because ''progress on these issues must involve advertisers as well as their agency partners.''",STUART ELLIOTT,"FEB. 23, 1999",THE MEDIA BUSINESS: ADVERTISING; White House presses to insure minority-owned agencies and media get a fair share of business.,https://www.nytimes.com/1999/02/23/business/media-business-advertising-white-house-presses-insure-minority-owned-agencies.html
